SN,Name of Town,Maintenance activity Scheduled for,Outage Affected Area,Outage Area,Outage Start Date,Outage Start Time,Outage End Date (Expected),Outage End Time (Expected),Outage_Type,0,1,2,3,4,5
1.0,DURG,11KV PUSHP VATIKA,BAGHERA,...,2026-03-14,03:20:00,2026-03-14,04:00:00,Live Outages,,,,,,
1.0,,11KV KONI,MASTURI DC,BREAKDOWN,2026-03-14,00:10:00,2026-03-14,01:00:00,All Outages (Today),,,,,,
2.0,,11KV KOSAMDIH,MASTURI DC,BREAKDOWN,2026-03-14,00:10:00,2026-03-14,01:00:00,All Outages (Today),,,,,,
3.0,,11KV MASTURI TOWN,MASTURI DC,BREAKDOWN,2026-03-14,00:10:00,2026-03-14,01:00:00,All Outages (Today),,,,,,
4.0,,11KV RISDA,MASTURI DC,BREAKDOWN,2026-03-14,00:10:00,2026-03-14,01:00:00,All Outages (Today),,,,,,
5.0,JAIRAM NAGAR,11KV JAIRAM NAGAR,JAIRAM NAGAR DC,BREAKDOWN,2026-03-14,00:10:00,2026-03-14,01:00:00,All Outages (Today),,,,,,
6.0,JAIRAM NAGAR,11KV JAIRAMNAGAR PUMP,JAIRAM NAGAR DC,BREAKDOWN,2026-03-14,00:10:00,2026-03-14,01:00:00,All Outages (Today),,,,,,
7.0,JAIRAM NAGAR,11KV KHAIRA NEW,JAIRAM NAGAR DC,BREAKDOWN,2026-03-14,00:10:00,2026-03-14,01:00:00,All Outages (Today),,,,,,
8.0,RAIPUR,11KV SHRISHTHI GARDEN,PURENA,TELIBANDHA AND NEARBY AREA,2026-03-14,00:50:00,2026-03-14,03:00:00,All Outages (Today),,,,,,
9.0,DURG,11KV PUSHP VATIKA,BAGHERA,...,2026-03-14,03:20:00,2026-03-14,04:00:00,All Outages (Today),,,,,,
10.0,RAIPUR,11KV CIVIL LINE,CIVIL LINES,CIVIL LINE AND NEARBY AREA,2026-03-14,08:00:00,2026-03-14,14:00:00,All Outages (Today),,,,,,
11.0,RAIPUR,11KV PAHUNA,CIVIL LINES,CIVIL LINES AND NEARBY AREA,2026-03-14,08:00:00,2026-03-14,14:00:00,All Outages (Today),,,,,,
12.0,RAIPUR,11KV GOKUL NAGAR,RAWANBHATA,NEAR BY AREA,2026-03-14,09:00:00,2026-03-14,14:00:00,All Outages (Today),,,,,,
13.0,RAIPUR,11KV YASH VIHAR,RAWANBHATA,NEAR BY AREA,2026-03-14,09:00:00,2026-03-14,14:00:00,All Outages (Today),,,,,,
14.0,BHILAI,11KV MILAN CHOWK,RISALI,ALL HUDCO AND NEARBY AREAS,2026-03-14,10:00:00,2026-03-14,16:00:00,All Outages (Today),,,,,,
15.0,BHILAI,11KV PETROL PUMP,RISALI,ALL HUDCO AND NEARBY AREAS,2026-03-14,10:00:00,2026-03-14,16:00:00,All Outages (Today),,,,,,
16.0,BHILAI,11KV RAILWAY,RISALI,ALL HUDCO AND NEARBY AREAS,2026-03-14,10:00:00,2026-03-14,16:00:00,All Outages (Today),,,,,,
17.0,KHARORA,11KV TILDA (T-II),KHARORA DC,TULSI,2026-03-14,10:00:00,2026-03-14,17:00:00,All Outages (Today),,,,,,
18.0,N.RAJIM(T) DC,11KV SINDHI COLONY,N.RAJIM(T) DC,SELECTED AREA,2026-03-14,10:00:00,2026-03-14,15:30:00,All Outages (Today),,,,,,
19.0,RAIGARH,11KV KHAIRPUR,RAIGARH ZONE-I,.,2026-03-14,10:00:00,2026-03-14,15:00:00,All Outages (Today),,,,,,
20.0,RAIPUR,11KV SATYAM VIHAR,CHANGORA BHATHA,SATYAM VIHAR,2026-03-14,10:00:00,2026-03-14,16:30:00,All Outages (Today),,,,,,
21.0,RAIPUR,11 KV AZAD CHOWK,LAKHE NAGAR,GE ROAD MG ROAD,2026-03-14,10:00:00,2026-03-14,15:00:00,All Outages (Today),,,,,,
22.0,RAIPUR,11KV MG ROAD,LAKHE NAGAR,GE ROAD MG ROAD,2026-03-14,10:00:00,2026-03-14,15:00:00,All Outages (Today),,,,,,
23.0,RAIPUR,11KV NAVEEN MARKET,LAKHE NAGAR,GE ROAD MG ROAD,2026-03-14,10:00:00,2026-03-14,15:00:00,All Outages (Today),,,,,,
24.0,RAIPUR,11KV DUNDA,DEVPURI,DUNDA,2026-03-14,10:00:00,2026-03-14,14:00:00,All Outages (Today),,,,,,
25.0,,11KV GADPHULJHAR,GADFULJHAR DC,ALL NEAR VILLAGE,2026-03-14,10:30:00,2026-03-14,14:00:00,All Outages (Today),,,,,,
26.0,RAIPUR,11KV RAMKUND,LAKHE NAGAR,VANDANA BAJAJ. RAWANPATTI. RAMKUND. AMATALAB. DHOBI TALAB. BAGICHA PARA . HOMEOPATHY COLLEGE.,2026-03-14,10:30:00,2026-03-14,14:00:00,All Outages (Today),,,,,,
27.0,JAGDALPUR,11KV BASTAR,DHARMPURA,"TETTARKUTI PARA,BAIDAR PARA,TILAK NAGAR,ROYAL GURDEN COLONY,PATEL PARA AGHANPUR,MPM HOSPITAL ROAD,GANESH CHOWK KANGOLI",2026-03-14,11:00:00,2026-03-14,13:30:00,All Outages (Today),,,,,,
28.0,JAGDALPUR,11KV GREEN CITY,DHARMPURA,"SINDHI COLONY AREA,TETTARKUTI AREA,MPM HOSPITAL ROAD,VARGISH PHASE3,GREEN CITY COLONY",2026-03-14,11:00:00,2026-03-14,13:30:00,All Outages (Today),,,,,,
29.0,JAGDALPUR,11KV HOUSING BOARD,DHARMPURA,"NEW HOUSING BOARD COLONY AGHANPUR,NEAR RAMA RESIDENCY COLONY",2026-03-14,11:00:00,2026-03-14,12:30:00,All Outages (Today),,,,,,
30.0,RAIPUR,11KV SHANTI VIHAR,DEENDAYAL UPADHYAY NAGAR,ALLAHABAD BANK KASHI HOTEL AND SHYAM PRIDE NEAR BY AREA,2026-03-14,11:00:00,2026-03-14,15:00:00,All Outages (Today),,,,,,
31.0,RAIPUR,11KV KALING NAGAR,GUDHIYARI,KALING NAGAR FEEDER,2026-03-14,11:00:00,2026-03-14,17:00:00,All Outages (Today),,,,,,
32.0,RAIPUR,11KV BANJARI-1,BHANPURI,RAWABHATHA METAL PARK,2026-03-14,11:00:00,2026-03-14,18:00:00,All Outages (Today),,,,,,
33.0,RAIPUR,11KV BANJARI-2,BHANPURI,RAWABHATHA METAL PARK,2026-03-14,11:00:00,2026-03-14,18:00:00,All Outages (Today),,,,,,
34.0,RAIPUR,11KV METAL PARK,BHANPURI,METAL PARK,2026-03-14,11:00:00,2026-03-14,18:00:00,All Outages (Today),,,,,,
35.0,RAIPUR,11KV MP METAL,BHANPURI,SECTOR C,2026-03-14,11:00:00,2026-03-14,18:00:00,All Outages (Today),,,,,,
36.0,RAIPUR,11KV SHIV MANDIR,BHANPURI,METAL PARK,2026-03-14,11:00:00,2026-03-14,18:00:00,All Outages (Today),,,,,,
37.0,SILTARA,11KV MOHNDA,SILTARA DC,TARPONGI MOHDASAKRA,2026-03-14,12:00:00,2026-03-14,16:00:00,All Outages (Today),,,,,,
38.0,SILTARA,11KV SARORA,SILTARA DC,TARPONGI MOHDASAKRA,2026-03-14,12:00:00,2026-03-14,16:00:00,All Outages (Today),,,,,,
39.0,SILTARA,11KV SUNGERA,SILTARA DC,TARPONGI MOHDASAKRA,2026-03-14,12:00:00,2026-03-14,16:00:00,All Outages (Today),,,,,,
40.0,SILTARA,11KV TARPONGI,SILTARA DC,TARPONGI MOHDASAKRA,2026-03-14,12:00:00,2026-03-14,16:00:00,All Outages (Today),,,,,,
41.0,RAIPUR,11KV GOVARDHAN NAGAR,KHAMTARI,GOVARDHAN NAGAR GANGA NAGAR BHANPURI,2026-03-14,14:00:00,2026-03-14,17:30:00,All Outages (Today),,,,,,
,,,,,,,,,All Outages (Tomorrow),Filter By:-,Town:,--Select--,Scheduled for:,--Select--,
