event_date,climate_gwl,climate_rainfall,climate_river_level,outage_events,hospital_events,school_events,target_outage_next_24h,dow,month,outage_events_lag1,outage_events_roll3
2022-01-04,0.0,11.8,314.65635849056605,0.0,0.0,0.0,0,1,1,0.0,0.0
2022-02-04,0.0,11.8,315.19719642857143,0.0,0.0,0.0,0,4,2,0.0,0.0
2022-02-15,0.0,12.8,0.0,0.0,0.0,0.0,0,1,2,0.0,0.0
2022-02-16,0.0,12.8,0.0,0.0,0.0,0.0,0,2,2,0.0,0.0
2022-02-17,0.0,12.78,0.0,0.0,0.0,0.0,0,3,2,0.0,0.0
2022-02-18,0.0,12.74,0.0,0.0,0.0,0.0,0,4,2,0.0,0.0
2022-02-21,0.0,12.7,0.0,0.0,0.0,0.0,0,0,2,0.0,0.0
2022-02-22,0.0,12.678260869565216,0.0,0.0,0.0,0.0,0,1,2,0.0,0.0
2022-02-23,0.0,12.656521739130431,0.0,0.0,0.0,0.0,0,2,2,0.0,0.0
2022-02-24,0.0,12.604347826086956,0.0,0.0,0.0,0.0,0,3,2,0.0,0.0
