facility_id,status
node/10939721749,matched
node/10939807399,matched
node/12276858430,matched
node/3774564938,matched
node/4445104811,matched
node/4445112827,matched
node/4445113471,matched
node/4445117924,matched
node/4445119946,matched
node/4445120486,matched
node/4445126014,matched
node/4445129008,matched
node/4445137285,matched
node/4445146001,matched
node/4445158557,matched
node/4445165297,matched
node/4445176350,matched
node/4445182024,matched
node/4445255005,matched
node/4445258453,matched
node/4445382462,matched
node/4446574875,matched
node/4711002386,matched
node/4994374903,matched
node/5556568170,matched
node/6283904436,matched
node/6950645744,matched
node/6950645749,matched
node/6950645773,matched
node/6950646487,matched
node/6953541281,matched
node/6956627645,matched
node/6956627650,matched
node/6956627655,matched
node/6956627660,matched
node/6956627669,matched
node/6956629791,matched
node/6956629796,matched
node/6956629801,matched
node/6956629810,matched
node/6956629815,matched
node/6956629976,matched
node/6956655133,matched
node/6956655140,matched
node/6956655145,matched
node/6956655152,matched
node/6957120029,matched
node/6957120034,matched
node/6957120039,matched
node/6957120057,matched
node/6957120062,matched
node/6957120067,matched
node/6957120077,matched
node/6957120082,matched
node/6957133287,matched
node/6957503647,matched
node/6957503652,matched
node/6965495354,matched
node/6965495359,matched
node/6965495374,matched
node/6965495384,matched
node/6965497689,matched
node/6965497699,matched
node/6965497709,matched
node/6965497714,matched
node/6965497719,matched
node/6965497724,matched
node/6965497729,matched
node/6965497734,matched
node/6965497739,matched
node/6965497744,matched
node/6965497749,matched
node/6965497759,matched
node/6965834116,matched
node/6965834121,matched
node/6965834122,matched
node/6965834136,matched
node/6965834146,matched
node/6965834156,matched
node/6965834161,matched
node/6965834166,matched
node/6965834176,matched
node/6965834177,matched
node/6965834182,matched
node/6965836187,matched
node/6965836192,matched
node/6965836197,matched
node/6965836202,matched
node/6965836211,matched
node/6965836216,matched
node/6965836221,matched
node/6966522779,matched
node/6966551463,matched
node/6966792004,matched
node/6966792010,matched
node/6966904907,matched
node/6966904930,matched
node/6966904976,matched
node/6968263373,matched
node/6968280740,matched
node/6968280745,matched
node/6968280774,matched
node/6968280856,matched
node/7148125099,matched
node/7148125111,matched
node/7148125120,matched
node/7148125143,matched
node/7148125202,matched
node/7148125239,matched
node/7148125255,matched
node/7148125257,matched
node/7148125258,matched
node/7148125308,matched
node/7148125312,matched
node/7288964595,matched
node/7288964599,matched
node/7288964602,matched
node/7288964603,matched
node/7288964610,matched
node/7288964613,matched
node/7288964616,matched
node/7288964641,matched
node/7288964642,matched
node/7288964644,matched
node/7288964648,matched
node/7288964653,matched
node/7288964658,matched
node/7288964664,matched
node/7288964666,matched
node/7288964673,matched
node/7288964676,matched
node/7288964679,matched
node/7288964681,matched
node/7288964683,matched
node/7288964686,matched
node/7291844243,matched
node/7291844245,matched
node/7291844258,matched
node/7291844264,matched
node/7291844275,matched
node/7291844281,matched
node/7291844299,matched
node/7291844302,matched
node/7291844307,matched
node/7291844314,matched
node/7291844320,matched
node/7736593775,matched
node/8322190354,matched
